Player,Pos,School,College,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
Jared Abbrederis\AbbrJa00,WR,Wisconsin,College Stats,6-1,195,4.50,30.5,4,117,6.80,4.08,Green Bay Packers / 5th / 176th pick / 2014
Davante Adams\AdamDa01,WR,Fresno State,College Stats,6-1,212,4.56,39.5,14,123,6.82,4.30,Green Bay Packers / 2nd / 53rd pick / 2014
Mo Alexander\AlexMa00,SS,Utah State,College Stats,6-1,220,4.50,38.0,,123,7.05,4.51,St. Louis Rams / 4th / 110th pick / 2014
Ricardo Allen\AlleRi00,CB,Purdue,College Stats,5-9,187,4.61,35.5,13,117,,4.15,Atlanta Falcons / 5th / 147th pick / 2014
Jace Amaro\AmarJa00,TE,Texas Tech,College Stats,6-5,265,4.74,33.0,28,118,7.42,4.30,New York Jets / 2nd / 49th pick / 2014
Antonio Andrews\AndrAn00,RB,Western Kentucky,College Stats,5-10,225,4.82,29.5,20,106,7.24,4.49,
Dri Archer\ArchDr00,WR,Kent State,College Stats,5-8,173,4.26,38.0,20,122,6.86,4.06,Pittsburgh Steelers / 3rd / 97th pick / 2014
Matt Armstrong,C,Grand Valley State,,6-2,302,5.18,,,,,,
George Atkinson\AtkiGe01,RB,Notre Dame,,6-1,218,4.48,38.0,19,121,7.07,4.46,
Jeremiah Attaochu\AttaJe00,OLB,Georgia Tech,College Stats,6-3,252,,,,,,,San Diego Chargers / 2nd / 50th pick / 2014
Dion Bailey\BailDi00,FS,USC,College Stats,6-0,201,4.66,34.0,,113,6.97,4.15,
Anthony Barr\BarrAn00,OLB,UCLA,College Stats,6-5,255,4.66,34.5,15,119,6.82,4.19,Minnesota Vikings / 1st / 9th pick / 2014
Lamin Barrow\BarrLa00,ILB,LSU,College Stats,6-1,237,4.64,35.0,22,123,7.24,4.35,Denver Broncos / 5th / 156th pick / 2014
Deion Belue\BeluDe00,CB,Alabama,College Stats,5-11,182,4.48,,11,,,,
Kelvin Benjamin\BenjKe00,WR,Florida State,College Stats,6-5,240,4.61,32.5,13,119,7.33,4.39,Carolina Panthers / 1st / 28th pick / 2014
Bene' Benwikere\BenwBe00,CB,San Jose State,College Stats,5-11,195,4.59,40.5,10,122,6.94,4.38,Carolina Panthers / 5th / 148th pick / 2014
Nat Berhe\BerhNa00,SS,San Diego State,College Stats,5-10,193,4.71,35.5,15,117,7.08,4.22,New York Giants / 5th / 152nd pick / 2014
Kapri Bibbs\BibbKa00,RB,Colorado State,College Stats,5-9,212,4.67,29.0,24,106,,,
Joel Bitonio\BitoJo00,OG,Nevada,College Stats,6-4,302,4.92,32.0,22,114,7.37,4.44,Cleveland Browns / 2nd / 35th pick / 2014
Rob Blanchflower\BlanRo01,TE,Massachusetts,College Stats,6-4,256,4.82,,,,,,Pittsburgh Steelers / 7th / 230th pick / 2014
Alfred Blue\BlueAl00,RB,LSU,College Stats,6-2,223,4.63,32.0,13,121,7.15,4.50,Houston Texans / 6th / 181st pick / 2014
Russell Bodine\BodiRu00,OG,North Carolina,College Stats,6-3,310,5.18,29.0,42,109,8.26,4.66,Cincinnati Bengals / 4th / 111th pick / 2014
Conor Boffeli\BoffCo00,OG,Iowa,,6-4,298,5.30,25.0,21,101,7.44,4.61,
Chris Borland\BorlCh00,ILB,Wisconsin,College Stats,5-11,248,4.83,31.0,27,114,7.18,4.27,San Francisco 49ers / 3rd / 77th pick / 2014
Blake Bortles\BortBl00,QB,Central Florida,College Stats,6-5,232,4.93,32.5,,115,7.08,4.21,Jacksonville Jaguars / 1st / 3rd pick / 2014
Tre Boston\BostTr00,SS,North Carolina,College Stats,6-0,204,4.58,35.0,18,116,7.04,4.31,Carolina Panthers / 4th / 128th pick / 2014
Chris Boswell\BoswCh00,K,Rice,College Stats,6-2,185,4.93,,,,,,
Tajh Boyd\BoydTa00,QB,Clemson,College Stats,6-1,222,4.84,30.5,,106,7.33,4.23,New York Jets / 6th / 213th pick / 2014
Chris Boyd\BoydCh00,WR,Vanderbilt,College Stats,6-4,206,4.73,,12,,,,
Carl Bradford\BradCa01,OLB,Arizona State,College Stats,6-1,250,4.76,37.5,23,122,7.25,4.30,Green Bay Packers / 4th / 121st pick / 2014
Bashaud Breeland\BreeBa00,CB,Clemson,College Stats,5-11,197,4.62,34.5,11,123,7.04,4.33,Washington Redskins / 4th / 102nd pick / 2014
Teddy Bridgewater\BridTe00,QB,Louisville,College Stats,6-2,214,,30.0,,113,7.17,4.20,Minnesota Vikings / 1st / 32nd pick / 2014
Justin Britt\BritJu00,OT,Missouri,College Stats,6-6,325,5.19,27.5,23,100,8.14,4.69,Seattle Seahawks / 2nd / 64th pick / 2014
Jay Bromley\BromJa00,DT,Syracuse,College Stats,6-3,306,5.06,33.5,26,106,7.92,4.78,New York Giants / 3rd / 74th pick / 2014
Terrence Brooks\BrooTe00,FS,Florida State,College Stats,5-11,198,4.42,38.0,10,119,7.35,,Baltimore Ravens / 3rd / 79th pick / 2014
Preston Brown\BrowPr00,ILB,Louisville,College Stats,6-1,251,4.86,33.0,23,116,6.98,4.26,Buffalo Bills / 3rd / 73rd pick / 2014
Jonathan Brown\BrowJo01,OLB,Illinois,College Stats,6-0,238,5.03,31.0,16,108,7.77,4.56,
John Brown\BrowJo02,WR,Pittsburg State,,5-10,179,4.34,36.5,,119,6.91,4.12,Arizona Cardinals / 3rd / 91st pick / 2014
Corey Brown\BrowPh00,WR,Ohio State,College Stats,5-11,178,4.51,33.0,,116,7.16,4.22,
Martavis Bryant\BryaMa00,WR,Clemson,College Stats,6-4,211,4.42,39.0,16,124,7.18,4.15,Pittsburgh Steelers / 4th / 118th pick / 2014
Deone Bucannon\BucaDe00,SS,Washington State,College Stats,6-1,211,4.49,36.5,19,125,6.96,4.26,Arizona Cardinals / 1st / 27th pick / 2014
Max Bullough\BullMa00,ILB,Michigan State,College Stats,6-3,249,4.78,31.0,30,112,7.22,4.30,
Isaiah Burse\BursIs01,WR,Fresno State,College Stats,5-10,188,4.58,31.0,16,115,6.74,3.94,
Trey Burton\BurtTr01,WR,Florida,College Stats,6-2,224,4.62,30.0,,112,7.14,4.32,
Michael Campanaro\CampMi02,WR,Wake Forest,College Stats,5-9,192,4.46,39.0,20,122,6.77,4.01,Baltimore Ravens / 7th / 218th pick / 2014
Ka'Deem Carey\CareKa00,RB,Arizona,College Stats,5-9,207,4.69,32.5,19,115,7.08,4.38,Chicago Bears / 4th / 117th pick / 2014
Derek Carr\CarrDe02,QB,Fresno State,College Stats,6-2,214,4.69,34.5,,110,,4.20,Oakland Raiders / 2nd / 36th pick / 2014
Ryan Carrethers\CarrRy00,DT,Arkansas State,College Stats,6-1,337,5.47,26.0,32,88,7.89,4.60,San Diego Chargers / 5th / 165th pick / 2014
Travis Carrie\CarrTr00,CB,Ohio,College Stats,6-0,206,4.49,,17,,,,Oakland Raiders / 7th / 219th pick / 2014
Steven Clark\ClarSt00,P,Auburn,College Stats,6-5,231,5.18,,,,,,
Will Clarke\ClarWi00,DE,West Virginia,College Stats,6-6,271,4.77,32.0,22,112,7.26,4.57,Cincinnati Bengals / 3rd / 88th pick / 2014
Ha Ha Clinton-Dix\ClinHa00,FS,Alabama,College Stats,6-1,208,4.58,33.0,11,119,7.16,4.16,Green Bay Packers / 1st / 21st pick / 2014
Jadeveon Clowney\ClowJa00,DE,South Carolina,College Stats,6-5,266,4.53,37.5,21,124,7.27,4.43,Houston Texans / 1st / 1st pick / 2014
Ross Cockrell\CockRo00,CB,Duke,College Stats,6-0,191,4.56,36.5,10,122,7.28,4.32,Buffalo Bills / 4th / 109th pick / 2014
Deandre Coleman\ColeDe01,DT,California,College Stats,6-5,314,5.12,,24,,,,
Brandon Coleman\ColeBr00,WR,Rutgers,College Stats,6-6,225,4.56,32.5,21,,7.33,4.51,
Kain Colter\ColtKa00,WR,Northwestern,College Stats,5-10,198,4.71,,,,,,
Aaron Colvin\ColvAa00,CB,Oklahoma,College Stats,5-11,177,4.51,,,,,,Jacksonville Jaguars / 4th / 114th pick / 2014
Brandin Cooks\CookBr00,WR,Oregon State,College Stats,5-10,189,4.33,36.0,16,120,6.76,3.81,New Orleans Saints / 1st / 20th pick / 2014
J.C. Copeland\CopeJ.00,FB,LSU,College Stats,5-11,271,4.95,28.5,23,111,7.68,4.58,
Damian Copeland\CopeDa00,WR,Louisville,College Stats,5-11,184,4.50,40.0,12,120,6.53,3.90,
Tim Cornett\CornTi00,RB,UNLV,College Stats,6-0,209,4.48,34.5,,125,7.01,4.26,
Scott Crichton\CricSc00,DE,Oregon State,College Stats,6-3,273,4.84,31.5,24,108,7.19,4.29,Minnesota Vikings / 3rd / 72nd pick / 2014
Isaiah Crowell\CrowIs00,RB,Arkansas,,5-11,224,4.57,38.0,23,117,,,
Mike Davis\DaviMi00,WR,Texas,College Stats,6-0,197,4.52,,10,,,,
Chris Davis\DaviCh05,CB,Auburn,College Stats,5-10,202,4.54,,15,,,,
A.D. Denham,TE,Kansas,,6-4,235,4.69,32.5,,,,,
Darqueze Dennard\DennDa00,CB,Michigan State,College Stats,5-11,199,4.52,,15,,,,Cincinnati Bengals / 1st / 24th pick / 2014
Pierre Desir\DesiPi00,CB,Lindenwood,,6-1,198,4.59,35.0,11,133,6.86,4.30,Cleveland Browns / 4th / 127th pick / 2014
Brandon Dixon\DixoBr00,CB,Northwest Missouri State,,5-11,203,4.41,32.5,17,117,7.15,4.27,New York Jets / 6th / 195th pick / 2014
Ahmad Dixon\DixoAh00,SS,Baylor,College Stats,6-0,212,4.64,32.0,14,111,7.55,4.50,Dallas Cowboys / 7th / 248th pick / 2014
Aaron Donald\DonaAa00,DT,Pittsburgh,College Stats,6-1,285,4.68,32.0,35,116,7.11,4.39,St. Louis Rams / 1st / 13th pick / 2014
Jonathan Dowling\DowlJo00,FS,Western Kentucky,College Stats,6-3,190,4.52,33.5,8,118,7.04,4.24,Oakland Raiders / 7th / 247th pick / 2014
Dakota Dozier\DoziDa00,OG,Furman,,6-4,313,5.42,24.0,23,101,8.14,4.89,New York Jets / 4th / 137th pick / 2014
Joe Don Duncan,TE,Dixie State,,6-3,268,4.79,,35,,,,
Kony Ealy\EalyKo00,DE,Missouri,College Stats,6-4,273,4.92,31.0,22,114,6.83,4.45,Carolina Panthers / 2nd / 60th pick / 2014
Dominique Easley\EaslDo00,DT,Florida,College Stats,6-2,288,4.93,,26,,,,New England Patriots / 1st / 29th pick / 2014
Eric Ebron\EbroEr00,TE,North Carolina,College Stats,6-4,250,4.60,32.0,24,120,,,Detroit Lions / 1st / 10th pick / 2014
Kasim Edebali\EdebKa00,OLB,Boston Col.,College Stats,6-2,253,4.79,34.5,19,115,7.20,4.35,
Kadeem Edwards\EdwaKa00,OG,Tennessee State,,6-4,313,5.25,27.0,26,99,7.95,4.82,Tampa Bay Buccaneers / 5th / 143rd pick / 2014
Bruce Ellington\ElliBr00,WR,South Carolina,College Stats,5-9,197,4.45,39.5,15,120,6.69,3.95,San Francisco 49ers / 4th / 106th pick / 2014
Justin Ellis\ElliJu01,DT,Louisiana Tech,College Stats,6-1,334,5.27,28.0,25,92,7.81,4.75,Oakland Raiders / 4th / 107th pick / 2014
I.K. Enemkpali\EnemIK00,DE,Louisiana Tech,College Stats,6-1,261,4.86,34.0,28,112,7.67,4.65,New York Jets / 6th / 210th pick / 2014
Quincy Enunwa\EnunQu00,WR,Nebraska,College Stats,6-2,225,4.41,,19,,,,New York Jets / 6th / 209th pick / 2014
Shaquelle Evans\EvanSh00,WR,UCLA,College Stats,6-1,213,4.51,34.5,13,122,7.07,4.21,New York Jets / 4th / 115th pick / 2014
Mike Evans\EvanMi00,WR,Texas A&M,College Stats,6-5,231,4.53,37.0,12,,7.08,4.26,Tampa Bay Buccaneers / 1st / 7th pick / 2014
Antone Exum\ExumAn00,CB,Virginia Tech,College Stats,6-0,213,4.59,35.0,17,117,7.05,4.13,Minnesota Vikings / 6th / 182nd pick / 2014
David Fales\FaleDa00,QB,San Jose State,College Stats,6-2,212,4.99,28.0,,103,7.55,4.50,Chicago Bears / 6th / 183rd pick / 2014
Matt Feiler\FeilMa00,OT,Bloomsburg,,6-6,330,5.37,26.5,36,103,8.13,4.86,
Anthony Fera,K,Texas,College Stats,6-1,211,4.85,,,,,,
Ego Ferguson\FergEg00,DT,LSU,College Stats,6-3,315,4.98,,24,,,,Chicago Bears / 2nd / 51st pick / 2014
C.J. Fiedorowicz\FiedC.00,TE,Iowa,College Stats,6-5,265,4.76,31.5,25,116,7.10,4.26,Houston Texans / 3rd / 65th pick / 2014
Tim Flanders,RB,SMU,,5-9,207,4.75,32.0,20,113,7.07,,
Cameron Fleming\FlemCa00,OT,Stanford,College Stats,6-5,323,5.28,23.5,26,97,8.24,5.00,New England Patriots / 4th / 140th pick / 2014
David Fluellen\FlueDa00,RB,Toledo,College Stats,5-11,224,4.72,36.5,,120,6.90,,
Dee Ford\FordDe00,DE,Auburn,College Stats,6-2,252,,,,,,,Kansas City Chiefs / 1st / 23rd pick / 2014
